Precinct,Bennet,,,Biden,,,Bloomberg,,,Buttigieg,,,Delaney,,,Gabbard,,,Klobuchar,,,Patrick,,,Sanders,,,Steyer,,,Warren,,,Yang,,,Other,,,Uncommitted,,
Evansdale W2,0,0,0,2,0,0,0,0,0,10,11,0.404,0,0,0,0,0,0,1,0,0,0,0,0,7,10,0.202,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Poyner P1 & East Wloo,0,0,0,9,14,0.202,0,0,0,10,12,0.202,0,0,0,1,0,0,1,0,0,0,0,0,10,15,0.202,2,0,0,5,0,0,3,0,0,0,0,0,0,0,0
Bennington,0,0,0,0,0,0,0,0,0,5,5,0.202,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,4,4,0,0,0,0,1,1,0,2,2,0,0,0,0
WL 1-6,0,0,0,34,37,0.606,0,0,0,30,37,0.404,0,0,0,3,0,0,32,41,0.606,0,0,0,34,39,0.606,0,0,0,21,0,0,2,0,0,0,0,0,0,0,0
WL 5-6,0,0,0,19,20,0.404,0,0,0,31,33,0.404,0,0,0,1,0,0,18,24,0.404,0,0,0,33,41,0.606,1,0,0,14,0,0,9,0,0,0,0,0,0,0,0
Eagle,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,1,0.202,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
WL 4-4,0,0,0,17,24,0.606,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,34,34,0.808,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evansdale W3,0,0,0,6,7,0.202,0,0,0,7,10,0.404,0,0,0,0,0,0,3,3,0.202,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Poyner P2 Fox Gilbert Jesup,0,0,0,13,14,0.404,0,0,0,18,21,0.606,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0.404,1,0,0,7,0,0,7,0,0,0,0,0,0,0,0
WL 5-3,0,0,0,15,17,0.202,0,0,0,17,19,0.404,0,0,0,0,0,0,1,1,0,0,0,0,52,56,0.808,4,0,0,9,5,0,0,0,0,0,0,0,0,0,0
WL 3-2,0,0,0,31,31,0.606,0,0,0,19,19,0.404,0,0,0,0,0,0,2,0,0,0,0,0,22,22,0.404,0,0,0,16,16,0.404,0,0,0,0,0,0,0,0,0
WL 2-6,0,0,0,25,26,0.202,0,0,0,30,31,0.404,0,0,0,0,0,0,31,36,0.404,0,0,0,26,28,0.404,5,0,0,26,28,0.404,9,0,0,0,0,0,0,0,0
WL 3-3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,10,0.404,7,10,0.404,10,11,0.404,7,8,0.202,0,0,0,3,0,0
WL 3-5,0,0,0,21,23,0.404,0,0,0,19,19,0.404,0,0,0,0,0,0,0,0,0,0,0,0,59,59,1.01,2,0,0,19,19,0.404,0,0,0,0,0,0,1,0,0
Cedar Orange,0,0,0,13,16,0.404,3,0,0,14,14,0.202,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0.404,3,0,0,17,19,0.404,2,0,0,0,0,0,0,2,0
WL 5-2,0,0,0,10,14,0.202,0,0,0,10,18,0.404,0,0,0,1,0,0,2,0,0,0,0,0,33,34,0.606,4,0,0,19,19,0.404,6,0,0,0,0,0,0,0,0
CF W2 P2 & CF Twp,0,0,0,14,0,0,0,0,0,72,76,0.808,0,0,0,0,0,0,44,58,0.606,0,0,0,80,87,1.01,9,0,0,38,42,0.404,14,0,0,0,0,0,2,0,0
CF W3 P3,0,0,0,14,0,0,0,0,0,35,42,0.404,0,0,0,1,0,0,18,27,0.404,0,0,0,50,52,0.606,1,0,0,40,45,0.404,4,0,0,0,0,0,3,0,0
WL 1-2,0,0,0,22,23,0.202,0,0,0,36,38,0.606,0,0,0,3,0,0,0,0,0,0,0,0,38,39,0.606,0,0,0,27,27,0.404,5,0,0,0,0,0,1,0,0
Evansdale W4,0,0,0,6,7,0.202,0,0,0,13,15,0.202,0,0,0,0,0,0,1,0,0,0,0,0,6,6,0.202,0,0,0,4,7,0.202,4,0,0,0,0,0,1,0,0
CF W2 P1,0,0,0,0,0,0,0,0,0,20,23,0.202,0,0,0,0,0,0,5,0,0,0,0,0,37,39,0.404,0,0,0,18,19,0.202,8,0,0,0,0,0,0,7,0
Elk Run Heights & Raymond,0,0,0,6,0,0,0,0,0,11,13,0.404,0,0,0,0,0,0,12,19,0.404,0,0,0,16,16,0.404,6,0,0,11,11,0.202,0,0,0,0,0,0,0,0,0
WL 2-5,0,0,0,22,25,0.404,0,0,0,24,32,0.606,0,0,0,0,0,0,12,0,0,0,0,0,29,34,0.606,3,0,0,15,19,0.202,5,0,0,0,0,0,0,0,0
WL 2-1,0,0,0,10,10,0.202,0,0,0,13,19,0.404,0,0,0,0,0,0,8,0,0,0,0,0,18,19,0.404,0,0,0,11,11,0.202,0,0,0,0,0,0,0,1,0
WL 5-5,0,0,0,32,32,0.404,0,0,0,48,49,0.404,0,0,0,1,0,0,49,52,0.606,0,0,0,33,35,0.404,9,0,0,27,31,0.202,0,0,0,0,0,0,1,1,0
WL 4-3,0,0,0,10,11,0.404,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0.202,1,0,0,5,6,0.202,7,7,0.202,0,0,0,0,0,0
Total,1,0,0,565,515,8.484,5,0,0,861,986,13.736,0,0,0,18,0,0,512,514,6.666,0,0,0,1.154,1.265,17.978,111,24,0.606,724,708,9.09,180,16,0.404,2,2,0,21,11,0
Boone 2nd Ward,0,0,0,24,25,0.38,0,0,0,34,38,0.57,0,0,0,0,0,0,20,20,0.19,0,0,0,21,22,0.38,0,0,0,23,24,0.38,8,1,0,0,0,0,0,0,0
Boone 3rd Ward,0,0,0,16,0,0,0,2,0,44,54,0.57,0,0,0,0,0,0,20,25,0.38,0,0,0,38,44,0.57,0,0,0,24,29,0.38,19,11,0,0,0,0,4,0,0
Rural Precinct 4,0,0,0,9,0,0,0,0,0,26,34,0.38,0,0,0,0,0,0,23,25,0.19,0,0,0,20,25,0.38,5,0,0,26,27,0.38,6,0,0,0,0,0,0,4,0
Boone 5th Ward,0,0,0,1,0,0,0,0,0,22,23,0.57,0,0,0,0,0,0,10,11,0.38,0,0,0,22,24,0.57,1,0,0,13,14,0.38,3,0,0,0,0,0,0,0,0
Boone 1st Ward,0,0,0,8,0,0,0,0,0,22,39,0.57,0,0,0,0,0,0,1,0,0,0,0,0,41,41,0.76,9,0,0,20,25,0.38,8,0,0,0,0,0,0,0,0
Madrid 2nd Ward,0,0,0,4,0,0,0,0,0,17,17,0.19,0,0,0,0,0,0,6,11,0.19,0,0,0,14,17,0.38,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
Ogden,0,0,0,15,20,0.38,0,0,0,36,45,0.57,0,0,0,0,0,0,8,0,0,0,0,0,19,23,0.38,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0
Rural Precinct 6,0,0,0,18,18,0.19,0,0,0,31,31,0.38,0,0,0,0,0,0,19,21,0.19,0,0,0,18,26,0.19,0,0,0,18,18,0.19,10,0,0,0,0,0,0,0,0
Rural Precinct 1,0,0,0,10,3,0,1,0,0,22,25,0.38,0,0,0,0,0,0,16,20,0.19,0,0,0,20,21,0.19,0,0,0,22,24,0.19,4,2,0,0,0,0,0,0,0
Rural Precinct 5,0,0,0,5,0,0,0,0,0,7,9,0.19,0,0,0,0,0,0,12,13,0.19,0,0,0,3,0,0,0,0,0,7,9,0.19,0,0,0,0,0,0,0,0,0
Rural Precinct 3,1,0,0,12,12,0.19,0,0,0,20,23,0.19,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,9,16,0.19,0,0,0,0,0,0,0,0,0
Madrid 3rd Ward,2,0,0,2,0,0,0,0,0,9,15,0.19,0,0,0,0,0,0,1,0,0,0,0,0,9,10,0.19,3,0,0,10,12,0.19,3,0,0,0,0,0,0,2,0
Rural Precinct 2,0,0,0,0,0,0,0,0,0,36,37,0.38,0,0,0,0,0,0,26,26,0.38,0,0,0,18,19,0.19,18,18,0.19,19,19,0.19,2,0,0,0,0,0,0,0,0
Total,3,0,0,124,78,1.14,1,2,0,326,390,5.13,0,0,0,0,0,0,166,172,2.28,0,0,0,248,272,4.18,36,18,0.19,202,217,3.04,65,14,0,0,0,0,5,6,0
WAVERLY WARD V/W WASHINGTON TWP,0,0,0,31,32,0.2267,0,0,0,55,61,0.68,0,0,0,0,0,0,34,40,0.4533,0,0,0,22,0,0,4,0,0,54,73,0.68,8,0,0,0,0,0,2,4,0
CITY OF DENVER/JEFFERSON TWP,0,0,0,24,25,0.4533,0,0,0,37,39,0.68,0,0,0,0,0,0,28,30,0.4533,0,0,0,7,0,0,5,0,0,17,22,0.4533,5,0,0,0,0,0,0,7,0
WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,0,0,0,16,0,0,0,0,0,44,49,0.4533,0,0,0,0,0,0,33,38,0.4533,0,0,0,23,25,0.2267,0,0,0,26,31,0.4533,6,0,0,0,0,0,0,0,0
CITY OF FREDERIKA- FREDERIKA & LEROY TWP,0,0,0,5,5,0,0,0,0,6,6,0.2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0
CITY OF JANESVILLE/JACKSON TWP,0,0,0,11,12,0.2267,0,0,0,16,19,0.4533,0,0,0,0,0,0,11,13,0.2267,0,0,0,7,0,0,3,0,0,15,19,0.2267,1,1,0,0,0,0,0,0,0
CITY OF SUMNER/SUMNER TWP/DAYTON TWP,0,0,0,19,21,0.4533,0,0,0,15,18,0.4533,0,0,0,0,0,0,8,0,0,0,0,0,13,13,0.2267,0,0,0,8,14,0.2267,2,0,0,0,0,0,1,0,0
CITY OF TRIPOLI/FREMONT,0,0,0,17,19,0.4533,0,0,0,9,9,0.2267,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0.2267,2,0,0,10,10,0.2267,4,0,0,0,0,0,0,0,0
LAFAYETTE TWP/WARREN TWPS,0,0,0,7,7,0.2267,0,0,0,15,15,0.2267,0,0,0,0,0,0,8,8,0.2267,0,0,0,0,0,0,0,0,0,6,6,0.2267,0,0,0,0,0,0,0,0,0
WAVERLY WARD III,0,0,0,12,0,0,0,0,0,57,73,0.4533,0,0,0,1,0,0,14,0,0,0,0,0,43,55,0.4533,0,0,0,42,46,0.2267,7,0,0,0,2,0,0,0,0
WAVERLY WARD IV,0,0,0,29,31,0.4533,0,0,0,48,51,0.68,0,0,0,0,0,0,24,27,0.2267,0,0,0,24,25,0.2267,0,0,0,27,27,0.2267,10,0,0,0,0,0,1,0,0
Total,0,0,0,171,152,2.4933,0,0,0,302,340,4.5333,0,0,0,1,0,0,160,156,2.04,0,0,0,152,135,1.3601,16,2,0,208,251,2.9468,43,1,0,0,2,0,4,11,0
Perry-Westburg,0,0,0,8,9,0.2737,0,0,0,8,8,0.2737,0,0,0,0,0,0,5,5,0.1368,0,0,0,4,0,0,0,0,0,5,5,0.1368,1,0,0,0,0,0,0,0,0
Brandon,0,0,0,8,9,0.1368,0,0,0,5,0,0,0,0,0,0,0,0,5,10,0.1368,0,0,0,6,7,0.1368,2,0,0,9,9,0.1368,0,0,0,0,0,0,1,0,0
Quasqueton,0,0,0,8,10,0.1368,0,0,0,5,0,0,0,0,0,1,0,0,11,15,0.2737,0,0,0,9,9,0.1368,0,0,0,8,9,0.1368,12,13,0.1368,0,0,0,2,0,0
Fairbank,0,0,0,17,17,0.2737,0,0,0,8,8,0.1368,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.1368,0,0,0,7,7,0.1368,1,0,0,0,0,0,0,0,0
Middlefield-Newton,0,0,0,7,7,0.1368,0,0,0,6,9,0.1368,0,0,0,0,0,0,6,6,0.1368,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
Independence 1st Ward,0,0,0,28,30,0.5474,0,0,0,26,31,0.6842,0,0,0,0,0,0,18,20,0.4105,0,0,0,7,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,0
Jesup,0,0,0,7,5,0,0,0,0,33,33,0.6842,0,0,0,0,0,0,14,17,0.2737,0,0,0,14,14,0.2737,0,0,0,2,1,0,17,17,0.2737,0,0,0,0,0,0
Winthrop,0,0,0,18,19,0.2737,0,0,0,29,31,0.5474,0,0,0,0,0,0,10,10,0.1368,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0
Rowley,0,0,0,8,8,0.1368,0,0,0,12,12,0.2737,0,0,0,0,0,0,6,6,0.1368,0,0,0,6,10,0.1368,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Independence 4th Ward,0,0,0,17,17,0.2737,0,0,0,5,0,0,0,0,0,0,0,0,8,9,0.1368,0,0,0,9,9,0.1368,0,0,0,6,0,0,3,0,0,0,1,0,0,12,0.2737
Aurora,0,0,0,20,22,0.4105,0,0,0,8,10,0.1368,0,0,0,0,0,0,3,0,0,0,0,0,6,6,0.1368,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0,146,153,2.5999,0,0,0,145,142,2.8736,0,0,0,1,0,0,86,98,1.7787,0,0,0,72,61,1.0945,5,0,0,49,31,0.5472,42,30,0.4105,0,1,0,3,16,0.2737
STORM LAKE 01,0,0,0,1,0,0,0,0,0,11,11,0.4,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0.4,0,0,0,7,7,0.4,7,7,0.2,0,0,0,0,0,0
NEWELL NEWELL PROVIDENCE,0,0,0,4,0,0,0,0,0,4,10,0.2,0,0,0,0,0,0,5,0,0,0,0,0,9,12,0.2,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0
STORM LAKE 02,0,0,0,11,13,0.2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0.4,0,0,0,12,13,0.2,2,0,0,0,0,0,0,0,0
STORM LAKE 04,0,0,0,16,19,0.2,0,0,0,30,32,0.4,0,0,0,0,0,0,20,22,0.4,0,0,0,26,33,0.4,0,0,0,20,20,0.2,14,0,0,0,0,0,0,0,0
SRL;LGB;RELS;MAP,0,0,0,11,11,0.2,0,0,0,9,10,0.2,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.2,9,9,0.2,11,12,0.2,3,0,0,0,0,0,0,0,0
Total,0,0,0,43,43,0.6,0,0,0,60,63,1.2,0,0,0,0,0,0,25,22,0.4,0,0,0,71,84,1.6,9,9,0.2,52,52,1,33,7,0.2,0,0,0,1,0,0
1-GR,0,0,0,15,15,0.2333,0,0,0,19,19,0.2333,0,0,0,0,0,0,23,23,0.35,0,0,0,15,15,0.2333,0,0,0,14,14,0.1167,0,0,0,0,0,0,0,0,0
5-AP,0,0,0,7,7,0.1167,0,0,0,7,8,0.2333,0,0,0,0,0,0,2,0,0,0,0,0,7,7,0.1167,0,0,0,6,8,0.1167,1,0,0,0,0,0,0,0,0
